iter	RMSE
0	0.3878559149
1	0.3756013832
2	0.3633289642
3	0.349548368
4	0.3384787844
5	0.3292053245
6	0.3197818168
7	0.3108605461
8	0.3019715725
9	0.2943974632
10	0.2880021466
11	0.2807972919
12	0.273602215
13	0.2678541435
14	0.2620924181
15	0.2564495953
16	0.2523324407
17	0.2470111236
18	0.2419209322
19	0.2372673392
20	0.233313068
21	0.2301509606
22	0.2262320598
23	0.2226846789
24	0.2195939816
25	0.2161061918
26	0.2126907119
27	0.2103386414
28	0.2080261042
29	0.2058153749
30	0.202634175
31	0.2012774025
32	0.1986804634
33	0.1968306317
34	0.1950719576
35	0.1928047987
36	0.1905605869
37	0.1882568262
38	0.1863023923
39	0.1851257192
40	0.1836569095
41	0.1816706324
42	0.1799118738
43	0.1784856544
44	0.1770171157
45	0.176207438
46	0.1751515673
47	0.1737368659
48	0.1729660167
49	0.1716587783
50	0.1705943355
51	0.1695230933
52	0.1688129635
53	0.1680172274
54	0.1672905769
55	0.1672122226
56	0.1658709254
57	0.1651231384
58	0.1638771492
59	0.1632973866
60	0.1623968668
61	0.16141348
62	0.1605842584
63	0.1601351341
64	0.1595187354
65	0.1588231173
66	0.1579626703
67	0.1574203519
68	0.1568780206
69	0.1562317467
70	0.155814202
71	0.1550943516
72	0.1543887473
73	0.1537955393
74	0.1534049574
75	0.1527876278
76	0.1523288192
77	0.1518237258
78	0.1513658552
79	0.1507156528
80	0.1500786279
81	0.1496923286
82	0.1493069937
83	0.1488798369
84	0.1484938425
85	0.1480832503
86	0.1475757038
87	0.1470202434
88	0.1469539413
89	0.1462696213
90	0.1459547626
91	0.1455459142
92	0.1452603855
93	0.1450258357
94	0.1447891157
95	0.1443328828
96	0.1439431194
97	0.1432081924
98	0.1431086344
99	0.1425246561
100	0.1420569068
101	0.1417358829
102	0.1414243946
103	0.1413103309
104	0.1408757253
105	0.1406220387
106	0.1403447031
107	0.1402469619
108	0.1401702805
109	0.1400185841
110	0.1399432812
111	0.1394404121
112	0.139082935
113	0.1388145908
114	0.1387141208
115	0.1386258647
116	0.1383990514
117	0.1382093769
118	0.1381198046
119	0.1377594368
120	0.1376589541
121	0.1371227365
122	0.1368746124
123	0.1365246979
124	0.136302706
125	0.1357109846
126	0.1352203012
127	0.1348434323
128	0.1346090905
129	0.1344171859
130	0.1339488851
131	0.1336522632
132	0.1335632087
133	0.133258003
134	0.1329681013
135	0.132544228
136	0.1321082904
137	0.1319329398
138	0.1317561667
139	0.1316678604
140	0.1315827889
141	0.1315614515
142	0.1314332532
143	0.1313748569
144	0.1312917033
145	0.1312280172
146	0.1310476766
147	0.1309339764
148	0.1308512006
149	0.1307677414
150	0.1304320056
151	0.1303968374
152	0.130341285
153	0.1301357279
154	0.1300820699
155	0.1298461461
156	0.1297661154
157	0.1296877677
158	0.1296091543
159	0.1295634932
160	0.1291328932
161	0.1290560038
162	0.1289800528
163	0.1289050257
164	0.1288882006
165	0.128836827
166	0.1285613411
167	0.1284921948
168	0.128330983
169	0.1282703195
170	0.1281987965
171	0.1281584589
172	0.1280639084
173	0.1279938595
174	0.1277822878
175	0.1277514173
176	0.1277287903
177	0.1276763725
178	0.127634057
179	0.127594084
180	0.12753454
181	0.1274602878
182	0.1274369105
183	0.1273901201
184	0.127334335
185	0.1272689671
186	0.1272223344
187	0.1271443556
188	0.1271200646
189	0.1270891877
190	0.1270404945
191	0.1270154355
192	0.1269701075
193	0.1269253094
194	0.1268848775
195	0.1268544237
196	0.1268352827
197	0.1267768013
198	0.1267154262
199	0.1266749966
200	0.1265931562
201	0.1265495799
202	0.1265302685
203	0.1265022525
204	0.1263945932
205	0.1263730048
206	0.1263260046
207	0.1259760472
208	0.1259528453
209	0.1258544102
210	0.1257812519
211	0.1255186538
212	0.1254312554
213	0.1253904366
214	0.1253460359
215	0.125311636
216	0.1251504633
217	0.1251312081
218	0.12506934
219	0.125013047
220	0.1249856775
221	0.124967234
222	0.1249117159
223	0.1248917484
224	0.1248664782
225	0.1248273282
226	0.1248072296
227	0.1247860607
228	0.124765032
229	0.1247402063
230	0.1247216041
231	0.1246811982
232	0.1246618887
233	0.1246430001
234	0.1246187241
235	0.1245982277
236	0.1245655276
237	0.1245330153
238	0.1244956094
239	0.1244926117
240	0.1241825711
241	0.1239128533
242	0.1238891628
243	0.1238692516
244	0.1238139697
245	0.123795505
246	0.1237782767
247	0.1237439429
248	0.1235796104
249	0.1235765327
250	0.1233354118
251	0.1233182393
252	0.1232984908
253	0.1232788019
254	0.1232039437
255	0.1231690698
256	0.1231178159
257	0.1230956072
258	0.1229855104
259	0.1229571276
260	0.1229223702
261	0.1228926225
262	0.1227857428
263	0.1227620981
264	0.1227270285
265	0.1226923729
266	0.1226797284
267	0.1224334557
268	0.1222237018
269	0.1221816459
270	0.1221650268
271	0.1221442403
272	0.1221413751
273	0.1221260383
274	0.1220964317
275	0.1219845471
276	0.1219638868
277	0.1219610598
278	0.1219441801
279	0.1219260781
280	0.1218500696
281	0.121825225
282	0.1217739453
283	0.1217420123
284	0.1216119429
285	0.1215717512
286	0.1215688154
287	0.1212833065
288	0.121273158
289	0.1212625027
290	0.1212346839
291	0.121104976
292	0.1210790672
293	0.1210661018
294	0.1208801848
295	0.12087055
296	0.1206404203
297	0.1205944193
298	0.1205914418
299	0.1205526875
300	0.1205430464
301	0.1205296552
302	0.1205019814
303	0.1204884348
304	0.120473221
305	0.1204706775
306	0.1204517979
307	0.1204357069
308	0.1203563642
309	0.120311789
310	0.1202968983
311	0.1200973033
312	0.1200831344
313	0.1199715316
314	0.1199619687
315	0.1199181396
316	0.1199083445
317	0.1196221846
318	0.1194366777
319	0.1194341382
320	0.119431478
321	0.1194048499
322	0.1192775308
323	0.1192748174
324	0.1192722896
325	0.1192697667
326	0.1192673227
327	0.1190060373
328	0.1189631617
329	0.1189606557
330	0.1189512105
331	0.1189412611
332	0.1189317938
333	0.1189160783
334	0.118752321
335	0.118749835
336	0.1187472113
337	0.1185483991
338	0.1185435111
339	0.1184362234
340	0.1184267202
341	0.118411915
342	0.1184093798
343	0.1184068753
344	0.1182777126
345	0.1182618357
346	0.1182594162
347	0.1181467494
348	0.1181310762
349	0.1181285894
350	0.1180871654
351	0.1180845827
