iter	Passed	Remaining
0	84	847378
1	88	442872
2	92	308037
3	99	249217
4	103	206287
5	107	179615
6	113	162062
7	119	149778
8	124	137835
9	128	128243
10	135	123453
11	139	116363
12	144	110989
13	151	107909
14	156	104494
15	161	101046
16	166	98027
17	173	96040
18	177	93148
19	181	90474
20	186	88819
21	193	87886
22	198	86303
23	202	84241
24	206	82524
25	214	82440
26	218	80827
27	220	78575
28	225	77475
29	229	76159
30	232	74760
31	234	72973
32	242	73106
33	244	71769
34	246	70307
35	248	68903
36	253	68316
37	258	67728
38	261	66803
39	264	65794
40	267	64874
41	269	63793
42	274	63534
43	277	62732
44	278	61674
45	280	60688
46	283	60028
47	286	59312
48	290	59061
49	293	58329
50	295	57669
51	298	57032
52	301	56502
53	305	56311
54	308	55814
55	312	55477
56	318	55598
57	324	55564
58	329	55437
59	331	54953
60	339	55334
61	344	55165
62	353	55818
63	360	55900
64	364	55663
65	368	55465
66	373	55395
67	377	55103
68	387	55808
69	390	55449
70	396	55378
71	401	55378
72	406	55269
73	408	54828
74	418	55361
75	422	55151
76	424	54732
77	427	54356
78	434	54529
79	437	54190
80	440	53951
81	448	54286
82	453	54169
83	455	53798
84	457	53394
85	460	53030
86	463	52858
87	468	52738
88	470	52405
89	473	52151
90	484	52725
91	489	52679
92	493	52525
93	497	52396
94	501	52337
95	504	52054
96	512	52367
97	516	52220
98	518	51886
99	521	51612
100	523	51299
101	530	51454
102	532	51167
103	534	50900
104	536	50604
105	539	50351
106	543	50283
107	549	50368
108	553	50250
109	555	49980
110	563	50194
111	567	50131
112	570	49879
113	572	49659
114	577	49641
115	579	49411
116	582	49176
117	585	49017
118	589	48947
119	595	49055
120	598	48846
121	602	48769
122	608	48869
123	635	50610
124	658	52051
125	664	52051
126	667	51918
127	672	51833
128	677	51855
129	681	51720
130	685	51670
131	716	53561
132	725	53819
133	729	53724
134	733	53593
135	737	53505
136	741	53406
137	745	53257
138	749	53139
139	752	53007
140	758	53023
141	761	52896
142	766	52835
143	778	53258
144	780	53061
145	783	52875
146	788	52820
147	794	52856
148	797	52755
149	802	52668
150	812	52982
151	817	52980
152	821	52880
153	829	53034
154	838	53284
155	842	53151
156	845	53004
157	849	52942
158	854	52911
159	859	52875
160	863	52770
161	869	52829
162	872	52631
163	874	52446
164	876	52250
165	880	52151
166	886	52216
167	890	52138
168	893	51950
169	896	51842
170	901	51825
171	905	51726
172	907	51560
173	911	51455
174	915	51401
175	918	51268
176	920	51102
177	923	50971
178	926	50808
179	933	50934
180	937	50842
181	939	50677
182	942	50552
183	945	50434
184	949	50384
185	951	50228
186	954	50084
187	956	49940
188	959	49794
189	964	49799
190	968	49749
191	971	49609
192	973	49474
193	981	49623
194	984	49493
195	986	49346
196	988	49196
197	991	49102
198	998	49198
199	1001	49093
200	1004	48949
201	1006	48818
202	1012	48857
203	1015	48755
204	1017	48634
205	1020	48540
206	1024	48473
207	1029	48483
208	1032	48358
209	1034	48233
210	1036	48103
211	1040	48024
212	1043	47965
213	1048	47926
214	1050	47819
215	1053	47698
216	1056	47637
217	1062	47683
218	1067	47688
219	1069	47564
220	1077	47666
221	1081	47633
222	1083	47519
223	1086	47418
224	1089	47354
225	1094	47313
226	1098	47281
227	1102	47267
228	1110	47386
229	1114	47361
230	1118	47310
231	1123	47306
232	1128	47294
233	1132	47260
234	1136	47209
235	1143	47307
236	1148	47295
237	1152	47254
238	1159	47368
239	1163	47328
240	1167	47293
241	1177	47465
242	1179	47367
243	1182	47276
244	1186	47232
245	1192	47291
246	1196	47245
247	1200	47200
248	1206	47247
249	1208	47141
250	1211	47040
251	1213	46950
252	1217	46900
253	1224	46984
254	1226	46886
255	1229	46789
256	1233	46754
257	1238	46767
258	1240	46672
259	1243	46580
260	1246	46494
261	1251	46498
262	1254	46453
263	1257	46365
264	1259	46273
265	1262	46182
266	1267	46212
267	1272	46211
268	1274	46115
269	1277	46025
270	1280	45970
271	1290	46146
272	1294	46107
273	1296	46032
274	1301	46022
275	1306	46028
276	1314	46147
277	1319	46145
278	1323	46120
279	1327	46094
280	1332	46085
281	1337	46080
282	1341	46051
283	1345	46026
284	1359	46332
285	1362	46292
286	1369	46343
287	1387	46803
288	1396	46928
289	1400	46896
290	1405	46909
291	1414	47040
292	1426	47258
293	1447	47788
294	1455	47894
295	1462	47948
296	1477	48273
297	1484	48337
298	1488	48299
299	1493	48300
300	1498	48276
301	1502	48264
302	1506	48224
303	1509	48145
304	1514	48127
305	1519	48125
306	1523	48110
307	1527	48076
308	1534	48135
309	1539	48117
310	1543	48083
311	1546	48021
312	1549	47970
313	1552	47900
314	1555	47825
315	1558	47770
316	1562	47719
317	1566	47700
318	1569	47644
319	1572	47561
320	1574	47473
321	1576	47370
322	1579	47313
323	1582	47267
324	1586	47217
325	1588	47143
326	1592	47102
327	1597	47101
328	1600	47058
329	1603	46983
330	1606	46920
331	1608	46836
332	1613	46832
333	1619	46861
334	1621	46777
335	1623	46692
336	1625	46617
337	1629	46573
338	1634	46567
339	1636	46503
340	1640	46466
341	1642	46387
342	1644	46297
343	1646	46216
344	1649	46159
345	1651	46086
346	1654	46017
347	1655	45924
348	1657	45834
349	1659	45756
350	1661	45669
351	1663	45581
352	1667	45570
353	1672	45560
354	1676	45543
355	1686	45697
356	1690	45670
357	1693	45614
358	1695	45540
359	1700	45524
360	1704	45519
361	1706	45440
362	1708	45360
363	1710	45279
364	1712	45194
365	1715	45149
366	1719	45120
367	1720	45036
368	1722	44965
369	1724	44886
370	1726	44808
371	1729	44772
372	1732	44703
373	1734	44638
374	1737	44589
375	1740	44543
376	1742	44488
377	1748	44501
378	1751	44460
379	1753	44390
380	1755	44322
381	1758	44269
382	1762	44253
383	1765	44204
384	1768	44154
385	1770	44096
386	1773	44052
387	1778	44056
388	1780	43997
389	1783	43939
390	1786	43894
391	1788	43824
392	1790	43761
393	1794	43750
394	1797	43704
395	1800	43658
396	1802	43599
397	1804	43545
398	1808	43515
399	1812	43490
400	1814	43434
401	1816	43374
402	1818	43313
403	1821	43258
404	1824	43228
405	1827	43177
406	1829	43120
407	1831	43064
408	1833	42991
409	1835	42935
410	1837	42867
411	1841	42848
412	1844	42812
413	1846	42749
414	1848	42696
415	1850	42634
416	1852	42570
417	1855	42538
418	1858	42495
419	1860	42448
420	1864	42418
421	1867	42395
422	1870	42349
423	1874	42330
424	1876	42280
425	1878	42217
426	1880	42158
427	1882	42096
428	1887	42114
429	1890	42070
430	1892	42014
431	1894	41969
432	1897	41914
433	1899	41878
434	1904	41886
435	1907	41837
436	1909	41785
437	1911	41725
438	1913	41670
439	1918	41683
440	1921	41652
441	1923	41599
442	1925	41547
443	1928	41497
444	1930	41454
445	1935	41469
446	1938	41431
447	1941	41386
448	1943	41338
449	1945	41288
450	1952	41344
451	1955	41305
452	1958	41273
453	1963	41289
454	1973	41404
455	1976	41362
456	1980	41353
457	1984	41351
458	1987	41302
459	1989	41254
460	1992	41219
461	1994	41176
462	1999	41186
463	2001	41142
464	2004	41094
465	2006	41052
466	2008	41008
467	2011	40978
468	2017	40992
469	2019	40950
470	2022	40922
471	2024	40866
472	2027	40835
473	2031	40830
474	2034	40796
475	2036	40749
476	2038	40705
477	2041	40662
478	2044	40640
479	2048	40636
480	2051	40595
481	2053	40555
482	2055	40509
483	2063	40567
484	2067	40553
485	2069	40505
486	2071	40464
487	2073	40425
488	2079	40446
489	2082	40414
490	2084	40370
491	2086	40325
492	2088	40281
493	2091	40247
494	2095	40244
495	2098	40201
496	2100	40157
497	2102	40114
498	2104	40068
499	2107	40037
500	2112	40053
501	2114	40010
502	2116	39967
503	2119	39925
504	2121	39884
505	2127	39916
506	2129	39880
507	2134	39882
508	2136	39833
509	2142	39875
510	2145	39841
511	2147	39804
512	2150	39766
513	2153	39738
514	2160	39782
515	2163	39758
516	2165	39712
517	2167	39670
518	2169	39630
519	2172	39600
520	2176	39600
521	2179	39576
522	2182	39542
523	2184	39502
524	2187	39477
525	2190	39461
526	2194	39443
527	2197	39415
528	2199	39376
529	2202	39345
530	2206	39342
531	2208	39306
532	2210	39270
533	2213	39245
534	2217	39236
535	2221	39222
536	2224	39195
537	2227	39173
538	2229	39135
539	2231	39093
540	2237	39117
541	2240	39089
542	2242	39056
543	2245	39035
544	2254	39105
545	2259	39125
546	2262	39090
547	2269	39136
548	2272	39112
549	2274	39076
550	2276	39046
551	2284	39109
552	2287	39073
553	2290	39058
554	2293	39037
555	2296	39010
556	2301	39025
557	2304	38998
558	2307	38964
559	2310	38953
560	2315	38955
561	2318	38927
562	2320	38895
563	2322	38860
564	2325	38841
565	2332	38880
566	2336	38876
567	2339	38840
568	2342	38826
569	2346	38812
570	2350	38813
571	2354	38802
572	2357	38785
573	2359	38754
574	2365	38774
575	2369	38763
576	2371	38731
577	2373	38690
578	2378	38697
579	2384	38725
580	2389	38734
581	2401	38863
582	2404	38831
583	2406	38795
584	2408	38770
585	2413	38767
586	2415	38742
587	2419	38733
588	2422	38705
589	2426	38698
590	2430	38687
591	2433	38680
592	2437	38670
593	2442	38675
594	2446	38677
595	2449	38645
596	2451	38610
597	2453	38577
598	2456	38545
599	2463	38587
600	2465	38559
601	2468	38529
602	2470	38501
603	2477	38533
604	2480	38516
605	2483	38493
606	2486	38482
607	2489	38463
608	2495	38474
609	2497	38442
610	2499	38410
611	2501	38378
612	2504	38346
613	2510	38379
614	2512	38345
615	2515	38315
616	2517	38279
617	2519	38245
618	2526	38288
619	2528	38247
620	2530	38219
621	2532	38185
622	2534	38152
623	2536	38118
624	2541	38123
625	2545	38115
626	2547	38084
627	2551	38074
628	2561	38166
629	2564	38139
630	2566	38110
631	2569	38082
632	2575	38106
633	2577	38073
634	2579	38044
635	2581	38014
636	2584	37981
637	2586	37956
638	2591	37966
639	2594	37937
640	2596	37905
641	2598	37877
642	2600	37841
643	2605	37857
644	2607	37820
645	2609	37782
646	2611	37746
647	2612	37709
648	2615	37679
649	2621	37705
650	2624	37691
651	2626	37662
652	2629	37634
